Name,CountryCode,Population
Gujranwala,PAK,1124749
Gujrat,PAK,250121
Gulbarga,IND,304099
Guntur,IND,471051
Gurgaon,IND,128608
Guwahati (Gauhati),IND,584342
Gwalior,IND,690765
GÃ¤ncÃ¤,AZE,299300
GÃ¶ttingen,DEU,124775
GÃ¼tersloh,DEU,95028
Haag,NLD,440900
Haarlem,NLD,148772
Haarlemmermeer,NLD,110722
Habikino,JPN,118968
Habra,IND,100223
Haeju,PRK,229172
Hagonoy,PHL,111425
Haicheng,CHN,205560
Hailun,CHN,133565
Haining,CHN,100478
Haldia,IND,100347
Haldwani-cum-Kathgodam,IND,104195
Halifax,CAN,113910
Halifax,GBR,91069
Halisahar,IND,114028
Hamamatsu,JPN,568796
Hamhung,PRK,709730
Hami,CHN,161315
Hamilton,BMU,1200
Hamilton,CAN,335614
Handa,JPN,108600
Hangzhou,CHN,2190500
Hanoi,VNM,1410000
Hanzhong,CHN,169930
Haora (Howrah),IND,950435
Harbin,CHN,4289800
Hardwar (Haridwar),IND,147305
Harkova [Harkiv],UKR,1500000
Hassan,IND,90803
Hat Yai,THA,148632
Hazaribag,IND,97712
Hebi,CHN,212976
Hefei,CHN,1369100
Hegang,CHN,520000
Heidelberg,DEU,139672
Helsingborg,SWE,117737
Hengshui,CHN,104269
Hengyang,CHN,487148
Hermosillo,MEX,608697
Heze,CHN,189293
Higashiosaka,JPN,517785
Himeji,JPN,475167
Hims,SYR,507404
Hindupur,IND,104651
Hino,JPN,166770
Hiratsuka,JPN,254207
Hirosaki,JPN,177522
Hiroshima,JPN,1119117
Hisar (Hissar),IND,172677
Hitachinaka,JPN,148006
Hobart,AUS,126118
Hodeida,YEM,298500
Hohhot,CHN,916700
Hong Gai,VNM,127484
Honghu,CHN,190772
Hongjiang,CHN,116188
Honiara,SLB,50100
HortolÃ¢ndia,BRA,135755
Hoshiarpur,IND,122705
Hospet,IND,96322
Hradec KrÃ¡lovÃ©,CZE,98080
Huaibei,CHN,366549
Huaihua,CHN,126785
Huainan,CHN,700000
Huaiyin,CHN,239675
HuaiÂ´an,CHN,131149
Hualien,TWN,108407
Huambo,AGO,163100
Huangshan,CHN,102628
Huangshi,CHN,457601
Huangyan,CHN,89288
Huddersfield,GBR,143726
Huelva,ESP,140583
Hugli-Chinsurah,IND,151806
Huizhou,CHN,161023
Hurlingham,ARG,170028
Huzhou,CHN,218071
HuÃ¡nuco,PER,129688
Hyesan,PRK,178020
Ibaraki,JPN,261020
Ibarra,ECU,130643
Ibb,YEM,103300
IbiritÃ©,BRA,125982
Ica,PER,194820
Ichihara,JPN,279280
Ichikawa,JPN,441893
Idfu,EGY,94200
Iguala de la Independencia,MEX,123883
Iida,JPN,107583
Ikare,NGA,140800
Ikoma,JPN,111645
Ikorodu,NGA,184900
Iksan,KOR,322685
Ila,NGA,264000
Ilam,IRN,126346
IlhÃ©us,BRA,254970
Iligan,PHL,285061
Iloilo,PHL,365820
Imabari,JPN,119357
Imperatriz,BRA,224564
Imus,PHL,195482
Inazawa,JPN,98746
Indaiatuba,BRA,135968
Indore,IND,1091674
Ingraj Bazar (English Bazar),IND,139204
Innsbruck,AUT,111752
Ipswich,GBR,114000
Iquique,CHL,177892
Iquitos,PER,367000
Irbil,IRQ,485968
Isahaya,JPN,93058
Ise,JPN,101732
Isehara,JPN,98123
Isesaki,JPN,123285
Ishinomaki,JPN,120963
Isparta,TUR,121911
Istanbul,TUR,8787958
ItaboraÃ­,BRA,173977
Itabuna,BRA,182148
ItagÃ¼Ã­,COL,228985
Itaituba,BRA,101320
Itami,JPN,190886
Itapetininga,BRA,119391
Itu,BRA,132736
Ituiutaba,BRA,90507
Izmit (Kocaeli),TUR,210068
Izumi,JPN,166979
JaboatÃ£o dos Guararapes,BRA,558680
Jacobina,BRA,96131
Jaffna,LKA,149000
Jahrom,IRN,94200
Jaipur,IND,1458483
Jakarta,IDN,9604900
Jakutsk,RUS,195400
Jalandhar (Jullundur),IND,509510
Jalgaon,IND,242193
Jalna,IND,174985
Jamestown,SHN,1500
Jammu,IND,214737
Jamnagar,IND,341637
JaraguÃ¡ do Sul,BRA,102580
Jaunpur,IND,136062
Jaya Pura,IDN,94700
JaÃº,BRA,109965
JequiÃ©,BRA,179128
Jerez de la Frontera,ESP,182660
Jerusalem,ISR,633700
Jessentuki,RUS,97900
Jessore,BGD,139710
Jevpatorija,UKR,112000
Jhansi,IND,300850
Jhelum,PAK,145800
Jiangmen,CHN,230587
Jiangyin,CHN,213659
Jiangyou,CHN,175753
Jiaohe,CHN,176367
Jiaonan,CHN,121397
Jiaozuo,CHN,409100
Jieyang,CHN,98531
Jilin,CHN,1040000
Jinan,CHN,2278100
Jinchang,CHN,105287
Jincheng,CHN,136396
Jingdezhen,CHN,281183
Jinhua,CHN,144280
Jining,CHN,265248
Jinmen,CHN,160794
Jinzhou,CHN,570000
Jirja,EGY,95400
Jiutai,CHN,180130
JiÂ´an,CHN,148583
Jodhpur,IND,666279
Joetsu,JPN,133505
Johannesburg,ZAF,756653
Joinville,BRA,428011
Jokohama [Yokohama],JPN,3339594
Jombang,IDN,92600
JosÃ© C. Paz,ARG,221754
JoÃ£o Pessoa,BRA,584029
Juazeiro,BRA,201073
Juazeiro do Norte,BRA,199636
Junan,CHN,90222
JundÃ­aÃ­,BRA,296127
JuÃ¡rez,MEX,1217818
Kabankalan,PHL,149769
Kabul,AFG,1780000
Kadoma,JPN,138953
Kaduna,NGA,342200
Kafr al-Dawwar,EGY,231978
Kafr al-Shaykh,EGY,124819
Kaifeng,CHN,510000
Kaiserslautern,DEU,100025
Kaiyuan,CHN,124219
Kakamigahara,JPN,131831
Kakogawa,JPN,266281
Kalemie,COD,101309
Kaliningrad,RUS,424400
Kalookan,PHL,1177604
Kalyan,IND,1014557
Kamagaya,JPN,100821
Kamakura,JPN,167661
Kamarhati,IND,266889
Kameoka,JPN,92398
Kananga,COD,393030
Kanazawa,JPN,455386
Kanchipuram,IND,150100
Kanchrapara,IND,100194
Kano,NGA,674100
Kanpur,IND,1874409
Kanpur Cantonment,IND,93109
Kanton [Guangzhou],CHN,4256300
Kanuma,JPN,93053
Karawang,IDN,145000
Karbala,IRQ,296705
Kars,TUR,93000
Kashiwa,JPN,320296
Kashiwazaki,JPN,91229
Kasugai,JPN,282348
Kasukabe,JPN,201838
Katowice,POL,345934
Kawachinagano,JPN,119666
Kawagoe,JPN,327211
Kawaguchi,JPN,452155
Kawanishi,JPN,149794
Kawasaki,JPN,1217359
Kayseri,TUR,475657
KecskemÃ©t,HUN,105606
Kediri,IDN,253760
Keelung (Chilung),TWN,385201
Kelang,MYS,243355
Kelowna,CAN,89442
Kendari,IDN,94800
Kerman,IRN,384991
Kermanshah,IRN,692986
Khandwa,IND,145133
Kharagpur,IND,177989
Khomeynishahr,IRN,165888
Khorramabad,IRN,272815
Khoy,IRN,148944
Khujand,TJK,161500
Khulna,BGD,663340
Kidapawan,PHL,101205
Kimberley,ZAF,197254
Kimchaek,PRK,179000
Kimchon,KOR,147027
